9020,Bronze [14,2,7]
7805,Gold [0,4,10,9,3]
7075,Gold [3,2,4,9,7,0,1,5,6,14]
7679,Bronze [0,4,14,1,3,12,5,10]
6356,Regular [7,3]
6874,Gold [14,0,4,10,9,3]
4715,Bronze [9]
4784,Gold [11]
4321,Regular [5,3,8,9]
6469,Gold [7,6,6,14,12,5,2]
4838,Bronze [1,2]
8103,Regular [14]
5904,Gold [5,4,6]
5775,Regular [10,14,14,8,7,3,4]
7070,Bronze [1,4,6,11,13,3,2,5,14]
4605,Regular [6,10,1,8,7,3,3]
7484,Bronze [11,5,14,2,6,7,8,1,0]
5706,Bronze [7,5,5,6,2,12,9,13]
5628,Regular [8,5,6]
5842,Regular [14,10]
6451,Gold [9,9,10,4,12]
7622,Bronze [9,0,6,3]
9169,Regular [5,3,4,10,10,8,2,0,14,7]
5425,Regular [3,13,7,5,10]
8852,Bronze [9,6,3,12,8,13,1,0,2,7]
8865,Regular [14,8,4,13,2,5,6,0,11,9]
8562,Gold [1,0,12,10,11,7,3,5,5]
5318,Bronze [6,2]
6294,Bronze [3,5,12,14,6,1,9,8]
6047,Bronze [1,7,9,8,6,13]
4674,Gold [13,7]
6447,Bronze [11,0]
5352,Regular [7,11,3]
4442,Regular [2]
5574,Gold [13,9,9,6,2,8]
6172,Gold [8,9,14,10,12,11,13]
4596,Bronze [13,2]
5301,Bronze [9,6,0,3,5,10]
7887,Regular [11,12,6,13,10,0,9]
8350,Gold [7,7,6,13,10,0,12,5]
5195,Regular [12,3,1]
7963,Bronze [0,1,1,4]
5387,Gold [3,12]
6650,Regular [7,11,12,9,3,1,10,14,5]
5609,Bronze [3,5,4,13,6,6,14]
5443,Gold [12,8,13]
6887,Gold [14,2,6,5,3,8,9,4,12,13]
5800,Gold [12,2,6,5,7,8,11,1]
5599,Bronze [7,14,13,9,4,10,11]
8588,Gold [5,3,13,11,14,0,7,9,8]
5338,Gold [7,8,6]
6672,Gold [0,10,4,9,14,13,6]
4618,Gold [13]
5860,Gold [4,1,12,11,8,8,9,2,13,3]
6901,Regular [7,8,14,5,3,1,4,9]
5686,Bronze [1,9,7,8,4,13,13,12]
7199,Gold [1,11,9,0,12,14,14,3]
5508,Regular [4,1]
6012,Gold [0,3]
4958,Regular [1,13]
4720,Bronze [9]
5845,Gold [2,10,1,1,11,4,3,9]
6060,Bronze [8,4,4,10,1,11,6,12,13]
5295,Gold [6,9]
7290,Bronze [6,6,9,14,10,10,1,4,2]
4822,Gold [1,7]
6510,Gold [5,3,10,9,12,1,7,8,8,4]
6935,Regular [11,12,4,0,8,1,13,2]
5649,Bronze [9,8,11,3]
4787,Gold [1,9,7]
7317,Gold [3,0,8,12,1,11,4,9]
5802,Gold [7,4,6,12]
4707,Gold [4,13,1]
5454,Bronze [2,6]
5031,Gold [1,4,13]
4449,Gold [12]
4994,Gold [11]
7070,Regular [4,13,1,5,3,6,6,8,0]
6495,Regular [6,12,14,9,8,1,11]
6182,Gold [11,1,5,12,3,14,6,13,13,7]
6201,Regular [11,9,13,13,5,3,3,4,7,6]
5089,Gold [8,10]
6288,Regular [1,8,7,10,11,2,9,12,5]
5864,Gold [3,3,8,6,7,10,12,2]
7141,Gold [0]
7491,Bronze [4,6,3,0,13,1]
5352,Gold [14,11,10,3]
8122,Gold [14,5,1,0,0,9,7]
5067,Bronze [10,6]
5946,Bronze [12,5,2,3,3,14,1]
5189,Regular [2,13,10,1,3]
6724,Regular [7,11,8,0,6,3]
5324,Regular [7,13,2,8,1]
7264,Gold [2,11,1,3,14,4,5,9,12,10]
5241,Regular [10,9,3]
6045,Regular [3,14,7,1,10,11]
5396,Bronze [8,11,11]
4947,Gold [11,11,13]
6294,Gold [11,8,10,14,14,3]
5545,Bronze [11,9,12,5,8,3]
8417,Gold [3,0,13,13,4,12,14,11]
7720,Bronze [8,0,2,7,4]
5104,Regular [5,12,2]
4168,Bronze [13,5,9]
5943,Regular [11,5,5,14,6]
6176,Bronze [7,9,4,12,1,1,11,14]
6777,Regular [2,4,11,9,10,7,0]
5132,Bronze [14,2,9]
6786,Gold [1,4,0,6,9,13,3,11,11,7]
7403,Bronze [3,10,14,14,4,0,5]
5141,Bronze [8,10,4,6]
6910,Bronze [0,8,10,13,14]
